Vivado Simulator 2020.2
Time resolution is 1 ps
time	u	q	a	b	c	d	e	f	g
0	1	0	0	0	0	0	0	0	1
10	1	1	1	0	0	1	1	1	1
20	1	2	0	0	1	0	0	1	0
30	1	3	0	0	0	0	1	1	0
40	1	4	1	0	0	1	1	0	0
50	1	5	0	1	0	0	1	0	0
60	1	0	0	0	0	0	0	0	1
70	1	1	1	0	0	1	1	1	1
80	1	2	0	0	1	0	0	1	0
85	0	2	0	0	1	0	0	1	0
90	0	1	1	0	0	1	1	1	1
100	0	0	0	0	0	0	0	0	1
110	0	5	0	1	0	0	1	0	0
120	0	4	1	0	0	1	1	0	0
130	0	3	0	0	0	0	1	1	0
140	0	2	0	0	1	0	0	1	0
150	0	1	1	0	0	1	1	1	1
160	0	0	0	0	0	0	0	0	1
170	0	5	0	1	0	0	1	0	0
175	1	5	0	1	0	0	1	0	0
$finish called at time : 176 ns : File "/home/mr-robot/Documents/arch/module02/source-code/v/counter_6_tb.v" Line 23
